,name,status,address,lat,long,id,rating,total ratings,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10
342,Rangsit Market,OPERATIONAL,"ซอย Rangsit-Pathum Thani 5, Tambon Prachathipat, Thanyaburi District, Pathum Thani 12130, Thailand",13.9860159,100.6135466,ChIJCWxVy92B4jARoWMeLxxe51Y,4.1,4419.0,tourist_attraction,point_of_interest,establishment,,,,,,,
343,ตลาดต้นไม้สวนจตุจักร,OPERATIONAL,"587/10 Kamphaeng Phet 2 Rd, Chatuchak, Bangkok 10900, Thailand",13.7994225,100.5487921,ChIJCSf_VhSc4jARyd9dAmfsTcs,4.5,465.0,point_of_interest,establishment,,,,,,,,
344,ตลาดลุงเพิ่ม,OPERATIONAL,"224 Vibhavadi Rangsit Rd, Chom Phon, Chatuchak, Bangkok 10900, Thailand",13.8062407,100.5623207,ChIJZULyFkac4jAR9qXpc3EbrAk,4.0,1562.0,tourist_attraction,point_of_interest,establishment,,,,,,,
345,Udomsuk Walk,OPERATIONAL,"653 Sukhumvit 103 Rd, Bang Chak, Phra Khanong, Bangkok 10260, Thailand",13.6783138,100.6300719,ChIJi5J9dfSf4jARXga-O8n09aI,4.3,1508.0,point_of_interest,establishment,,,,,,,,
346,Serimarket the nine rama9,OPERATIONAL,"999/5 ศูนย์การค้าเดอะไนน์ พระราม9 Suan Luang, Bangkok 10250, Thailand",13.7413612,100.6227937,ChIJDU5dKjBhHTER4-jCrMz70qQ,4.3,2226.0,restaurant,food,point_of_interest,establishment,,,,,,
347,ตลาดนานาเจริญ,OPERATIONAL,"หมู่ที่ 6 23/7 ถนน เสมาฟ้าคราม Khu Khot, Lam Luk Ka District, Pathum Thani 12130, Thailand",13.9694346,100.6454837,ChIJu5n1mdh_HTERjT-q_PnGEIU,4.3,966.0,point_of_interest,establishment,,,,,,,,
348,Ton Son Mosque,OPERATIONAL,"447 Arun Amarin Rd, Wat Arun, Bangkok Yai, Bangkok 10600, Thailand",13.740042,100.488668,ChIJezNTCwGZ4jARsZux4erypHA,4.6,281.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
349,Chatuchak Market 2 (Minburi) Weekend Market,OPERATIONAL,"Sihaburanukit Rd, Min Buri, Bangkok 10510, Thailand",13.8136873,100.7256007,ChIJy3vNwmNkHTERUdXskT6sVe8,4.0,1168.0,point_of_interest,establishment,,,,,,,,
350,Mahachai Muang Mai Market,OPERATIONAL,"Soi Mu Ban Mahachai Mueang Mai, Khok Krabue, Mueang Samut Sakhon District, Samut Sakhon 74000, Thailand",13.5875244,100.325988,ChIJ7yewQT-54jARRc8Ane25oj4,3.9,1057.0,point_of_interest,establishment,,,,,,,,
351,Samut Prakan Market,OPERATIONAL,"Pak Nam, Mueang Samut Prakan District, Samut Prakan 10270, Thailand",13.5934686,100.5963058,ChIJiX79QjWn4jARKFDBqsTaGW4,4.1,688.0,point_of_interest,establishment,,,,,,,,
352,Train Night Market Ratchada,OPERATIONAL,"Ratchadaphisek Rd, Din Daeng, Bangkok 10400, Thailand",13.7665714,100.5685571,ChIJXWLwuIie4jARHflkjQu6MCw,4.2,30951.0,tourist_attraction,point_of_interest,establishment,,,,,,,
353,Luang Kocha Itsahak Mosque,OPERATIONAL,"979 Song Wat Rd, Samphanthawong, Bangkok 10100, Thailand",13.7383547,100.5082059,ChIJB0iQNCCZ4jARj_iX5gXXHbo,4.6,100.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
354,Udom Suk Market,OPERATIONAL,"ถนน อุดมสุข Bang Na, Bangkok 10260, Thailand",13.679002,100.6108024,ChIJ66UmlASg4jARxZ4AzYg2xsE,4.0,1634.0,point_of_interest,establishment,,,,,,,,
355,Bangkhunsi Market,OPERATIONAL,"Charan Sanitwong Rd, Bang Khun Si, Bangkok Noi, Bangkok 10700, Thailand",13.7590427,100.4691984,ChIJ3Wbctb-Z4jAR7jwkmxxxnRw,4.0,3081.0,tourist_attraction,point_of_interest,establishment,,,,,,,
356,Masjid Darul Aman,OPERATIONAL,"1 Jln Eunos, Singapore 419493",1.3179347,103.9045197,ChIJidljbAUY2jERgKMgYT1QTEQ,4.7,288.0,mosque,place_of_worship,point_of_interest,establishment,,,,,,
357,Thai-Pakistan Friendship Mosque,OPERATIONAL,"Maha Set Rd, Bang Rak, Bangkok 10500, Thailand",13.7298447,100.5186112,ChIJlVPmVteY4jARjrTPugAY39A,4.8,117.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
358,Masjed Darulmuhsinin,OPERATIONAL,"ซอย สุขุมวิท 49/14 Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",13.744442,100.5786742,ChIJfSuKw1me4jAR9ckCYxqKoDg,4.6,142.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
359,Wat Champa,OPERATIONAL,"Si SA KET 4037 Rural Rd., Nong Kaeo, Kanthararom, Si SA KET, 34310, Thailand",15.164161,104.690875,ChIJ0YIEduWMFjERS1tNaNrTGzE,4.6,11.0,place_of_worship,point_of_interest,establishment,,,,,,,
360,Kuwatin Islam Mosque مسجد,OPERATIONAL,"656 Somdet Chao Phraya Rd, Somdet Chao Phraya, Khlong San, Bangkok 10600, Thailand",28.6478898,180.0,ChIJo41pox2Z4jARpd9j4bPRPj4,4.6,44.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
361,Bang Ao Mosque مسجد,OPERATIONAL,"86 Soi Charan Sanitwong, Bang Ao, Bang Phlat, Bangkok 10700, Thailand",13.7946964,100.5112891,ChIJCR6p6eib4jARXkzmtYpWSgc,4.6,98.0,mosque,place_of_worship,point_of_interest,establishment,,,,,,
362,Khoirit Sunna Mosque,OPERATIONAL,"Thanon Kheha Rom Klao, Saphan Sung, Bangkok 10240, Thailand",13.7708374,100.7102239,ChIJB755zKpmHTER1mUDQDgFO_E,4.5,71.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
363,Surao Lamkaek School,OPERATIONAL,"10, 5 Suwinthawong Rd, Khwaeng Lam Phakchi, Nong Chok, Bangkok 10530, Thailand",13.8037392,100.8601338,ChIJAeXcx_FuHTERiqJVkyBbY8U,4.6,13.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
364,Fathulbaree Mosque,OPERATIONAL,"Ramkhamhaeng 93 Alley, Hua Mak, Bang Kapi District, Bangkok 10240, Thailand",13.7643115,100.6460245,ChIJ35pijo1hHTERCSNYeWDKe4A,4.8,92.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
365,Masjid Prasert Islam,OPERATIONAL,"Bang Talat, Pak Kret District, Nonthaburi 11120, Thailand",13.8879486,100.5196585,ChIJZTQxwKSE4jARGOJ9mNjuQ4A,4.6,192.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
366,Muang Thong Market,OPERATIONAL,"14 Chaeng Watthana Alley, Thung Song Hong, Lak Si, Bangkok 10210, Thailand",13.8956542,100.5614585,ChIJZ4o_rheD4jARgCmPGtRTdhA,4.1,692.0,point_of_interest,establishment,,,,,,,,
367,Dilfulla Mosque,OPERATIONAL,"233 Itsaraphap Rd, Wat Arun, Bangkok Yai, Bangkok 10600, Thailand",13.7371805,100.4854232,ChIJS6dVGgCZ4jARa8h64zxdW1k,4.6,9.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
368,Darul Muhayirin Mosque,OPERATIONAL,"43/27 ซอย ชานเมือง 10 Ratchadaphisek Rd, Din Daeng, Bangkok 10400, Thailand",13.7696217,100.568907,ChIJaUB_eIae4jAReNJ2f5t5nPs,4.6,72.0,mosque,place_of_worship,point_of_interest,establishment,,,,,,
369,Kamalun Iman Mosque (Wang Ta Nuad),OPERATIONAL,"74 Ta Wan Alley, Sai Kong Din Tai, Khlong Sam Wa, Bangkok 10510, Thailand",13.8420843,100.7491805,ChIJ7xPy1N1kHTER8UWzSejb4cM,4.9,23.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
370,Al Alawi Mosque مسجد,OPERATIONAL,"ถนน Bangkok-Chon Buri New Line, Prawet, Bangkok 10250, Thailand",13.7364297,100.6659205,ChIJT9vsbAdhHTERrnK81FgIMx8,4.6,68.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
371,Masjid Al-Istiqamah,OPERATIONAL,"2 Serangoon North Ave 2, Singapore 555876",1.3692056,103.8755059,ChIJj1PEaFEW2jERyV0sS6gb4UQ,4.7,228.0,mosque,place_of_worship,point_of_interest,establishment,,,,,,
372,Bang Kho Laem Market,OPERATIONAL,"104 Charoen Krung Rd, Bang Kho Laem, Bangkok 10120, Thailand",13.6980699,100.4981963,ChIJ4yUwD5uY4jAReKMQAr3zNuA,3.9,242.0,point_of_interest,establishment,,,,,,,,
373,Darul Muttaqien Mosque,OPERATIONAL,"ซอย อ่อนนุช 53 On Nut Rd, Bangkok 10250, Thailand",13.7193479,100.6540662,ChIJeb17GFBgHTERAcs59H5sxQg,4.5,43.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
374,Masjid Muhajireen,OPERATIONAL,"137 Mit Maitri Rd, Din Daeng, Bangkok 10400, Thailand",13.7639972,100.5493178,ChIJscbwS7ye4jAR9w-gIBQ0k3Q,4.4,100.0,mosque,place_of_worship,point_of_interest,establishment,,,,,,
375,Masjid Zhohirul Islam,OPERATIONAL,"ซอย ทองหล่อ Thonglor Rd, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",13.7355957,100.5832833,ChIJ09_5U1Ke4jARrjZu-Lyr4Y8,4.5,159.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
376,มัสญิด อัล อิศลาหฺ مسجد,OPERATIONAL,"501 Soi Sankha Santisuk 8, Krathum Rai, Nong Chok, Bangkok 10530, Thailand",13.8530336,100.8707909,ChIJs7g84x5uHTERLw8O2vI9h0E,4.6,78.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
377,Riyadis Sunan Mosque,OPERATIONAL,"43, ถนน พิบูลสงคราม - พิบูลสงคราม 1 ตำบล สวนใหญ่ อำเภอเมืองนนทบุรี นนทบุรี 11000 ประเทศไทย, Suan Yai, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",13.8188183,100.5052183,ChIJX3_BWaKb4jAR3_YwZdoDjVc,4.6,143.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
378,Marketland,OPERATIONAL,"642 Lat Krabang Rd, Khwaeng Lat Krabang, Lat Krabang, Bangkok 10520, Thailand",13.7221546,100.7384491,ChIJUREQLxxnHTER5-fGttCDQRc,4.0,601.0,point_of_interest,establishment,,,,,,,,
379,Masjid Siroyuddeen,OPERATIONAL,"Soi Ramkhamhaeng 176 (Mu Ban Suphawan), Min Buri, Bangkok 10510, Thailand",13.7888705,100.7226056,ChIJW5x2ixFkHTERrOYyoNjGjug,4.6,11.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
380,Chong Thanom Salaya Market,OPERATIONAL,"200/45 ศาลายา Nakhon Pathom 73170, Thailand",13.801772,100.3261454,ChIJd0Qs9pWT4jARu4J_J9IoDMc,4.2,1144.0,point_of_interest,establishment,,,,,,,,
381,Mahanak Mosque,OPERATIONAL,"ซอย Krung Maen Rd, Khlong Maha Nak, Pom Prap Sattru Phai, Bangkok 10100, Thailand",13.7529018,100.5165472,ChIJs3v5jjmZ4jARfNIwCY0F64g,4.6,214.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
382,Luang Phaeng Market 108Years,OPERATIONAL,"91 Luang Phaeng Rd, Khum Thong, Lat Krabang, Bangkok 10520, Thailand",13.6998315,100.8544919,ChIJ5da6wbdpHTERMCy3UErFNuA,4.1,122.0,tourist_attraction,point_of_interest,establishment,,,,,,,
383,ตลาดนัด บางแก้ว,OPERATIONAL,"51 บางนา-ตราด51 Bang Kaeo, Bang Phli District, Samut Prakan 10540, Thailand",13.654973,100.6746457,ChIJMcAoyEheHTERZAGr21fcsfU,3.8,83.0,point_of_interest,establishment,,,,,,,,
384,Indonesia Mosque,OPERATIONAL,"Polo 5 Alley, Lumphini, Pathum Wan District, Bangkok 10330, Thailand",13.733652,100.5492038,ChIJTQuNgCCf4jARUyH4ltLmlk4,4.6,167.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
385,Bang Uthit Mosque مسجد,OPERATIONAL,"226 Charoen Krung Rd, Wat Phraya Krai, Bang Kho Laem, Bangkok 10120, Thailand",13.7026306,100.5033,ChIJwUWMb5eY4jARST5G_y_bJyo,4.7,479.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
386,มัสยิดอัตตั๊กวา,OPERATIONAL,"9 Rom Klao 6, Min Buri, Bangkok 10510, Thailand",13.7923511,100.7366713,ChIJ7SOTPT9kHTERle-mgOf9lHo,4.6,64.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
387,Masjid Daros Sa-Adah,OPERATIONAL,"72, Soi Phraratchawiriyaphon 17, Phra Pradaeng District, Samut Prakan 10130, Thailand",13.6602399,100.5260976,ChIJfcf30Sai4jARKA7W8_N-jOs,4.6,111.0,mosque,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,
388,Equestrian Statue of King Rama V,OPERATIONAL,"Uthong Nai Alley, Dusit, Dusit District, Bangkok 10300, Thailand",13.7692229,100.5120311,ChIJb-jTT0OZ4jARy4LdvSadAX8,4.7,5170.0,tourist_attraction,point_of_interest,establishment,,,,,,,
389,Pig Memorial,OPERATIONAL,"Bangkok, จังหวัด กรุงเทพมหานคร 10200, Thailand",13.7498728,100.4962104,ChIJ1_9KLxCZ4jARNVFsNQSbq7k,4.5,66.0,tourist_attraction,point_of_interest,establishment,,,,,,,
390,King Rama VI Monument,OPERATIONAL,"192 Rama IV Rd, Lumphini, Pathum Wan District, Bangkok 10330, Thailand",13.729945,100.5376744,ChIJbfiHISmf4jAROlU59vpyopA,,,tourist_attraction,point_of_interest,establishment,,,,,,,
391,World War 1 Volunteer Monument,OPERATIONAL,"4 Na Phra That Alley, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",13.7582021,100.493283,ChIJr1UBJw2Z4jARZ5tidTivoDA,4.0,83.0,tourist_attraction,point_of_interest,establishment,,,,,,,
392,Tamnak Plai Noen (Wang Khlong Toei),OPERATIONAL,"1164 Rama IV Rd, Khlong Toei, Bangkok 10110, Thailand",13.7211784,100.5537186,ChIJ8adp6xef4jAR5pgO7D50tAA,4.6,49.0,tourist_attraction,premise,point_of_interest,establishment,,,,,,
393,Wat Prasat Nonthaburi,OPERATIONAL,"18 Bang Kruai - Sai Noi Rd, Bang Krang, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",13.8391383,100.4518531,ChIJaxm76I-a4jARI8iT8mz3dlk,4.6,792.0,tourist_attraction,place_of_worship,point_of_interest,establishment,,,,,,
394,Phra Aphon Phimok Prasat Throne Hall,OPERATIONAL,"200 Maha Rat Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",13.7502893,100.4907749,ChIJC1LVKA-Z4jARdPRWZI0GeRo,4.4,25.0,point_of_interest,establishment,,,,,,,,
395,King Rama I Monument,OPERATIONAL,"Nai Mueang, Mueang Buri Ram District, Buri Ram 31000, Thailand",14.9866932,103.1046252,ChIJK_Gj1cmVGTERi1FfQ2cfjn4,4.6,521.0,tourist_attraction,point_of_interest,establishment,,,,,,,
396,King Taksin Monument,OPERATIONAL,"Old Library Building, Wat Arun, Bangkok Yai, Bangkok 10600, Thailand",13.7428598,100.4904403,ChIJxfy7HASZ4jAR2fzTTHXeJMk,4.4,11.0,point_of_interest,establishment,,,,,,,,
397,King Rama V Monument,OPERATIONAL,"Phrommani, Mueang Nakhon Nayok District, Nakhon Nayok 26000, Thailand",14.298099,101.166343,ChIJd7MUl6uwHTER3mItPEjvhy8,4.7,6.0,point_of_interest,establishment,,,,,,,,
398,Pong Patchamit Fort,OPERATIONAL,"881 Somdet Chao Phraya Rd, Khlong San, Bangkok 10600, Thailand",13.7315909,100.5107028,ChIJw5AL7t6Y4jARsFkjRGg2On8,3.0,1.0,tourist_attraction,point_of_interest,establishment,,,,,,,
399,Wonder World Extreme Park,OPERATIONAL,"41 Kanchanaphisek Rd, Khan Na Yao, Bangkok 10230, Thailand",13.81976,100.6781678,ChIJIfomjghjHTERbFLj9t81nK8,3.9,205.0,amusement_park,tourist_attraction,point_of_interest,establishment,,,,,,
