,0,1
0,wat,111.78388521844312
1,temple,108.16937302896217
2,phra,106.13952727670555
3,shady,105.9639672424726
4,peaceful,105.52486083848314
5,rama,105.47641717404309
6,royal,105.29735551554988
7,museum,105.17324808312715
8,buddha,105.00091445926618
9,shopping,102.92808825136025
10,product,102.84121007503299
11,river,102.81883148519269
12,fish,102.30583746068422
13,history,101.30202502074495
14,worship,100.78452804218645
15,garden,100.09590668314499
16,architecture,99.92840273324991
17,chao,99.85972532739872
18,king,99.30819038169818
19,bts,99.09722522662477
20,luang,98.70460213217454
21,art,98.6512664840245
22,expensive,98.64416128767424
23,market,98.49682014446527
24,phraya,98.35047354029136
25,boat,98.21724507396058
26,monk,97.99053744515365
27,statue,97.84560752754157
28,merit,97.72317996468529
29,calm,97.53701880836321
30,cheap,97.35847942495649
31,ancient,96.87991634231781
32,exhibition,96.28829215003508
33,item,96.26074323773713
34,restaurant,95.93606503880446
35,fee,95.86740569619661
36,palace,95.77877375011764
37,historical,95.69569435317032
38,night,95.60250113321193
39,respect,95.56003290712592
40,pray,95.52081595041301
41,street,95.48396020100357
42,stuff,95.45609063617519
43,amaze,95.42985762618616
44,kid,95.05347579763563
45,store,95.01411976063036
46,crowd,95.00874684394175
47,variety,94.96134163182751
48,built,94.90383461902069
49,experience,94.89871116649597
50,tourist,94.70521737432804
51,tree,94.70069482849087
52,spend,94.64134918736202
53,buy,94.17305895531787
54,reign,94.05233825507668
55,buddhist,93.37064034659059
56,morning,93.28866581604389
57,relax,93.06823790800908
58,fresh,93.03302873910371
59,quality,92.9839862977566
60,stall,92.84623898520489
61,delicious,92.62282178028332
62,station,92.59025240142213
63,high,92.51260703917542
64,hour,92.51189972402904
65,style,92.4982577611078
66,ticket,92.30421032381453
67,sell,92.16954723556384
68,local,92.15016608237977
69,mall,92.1087203046635
70,homage,92.04077714220904
71,knowledge,92.00945422302797
72,community,91.76985786953756
73,canal,91.6420794839055
74,bridge,91.61807696500017
75,pay,91.58509666464018
76,coffee,91.4148423302917
77,learn,91.4126375877312
78,show,91.3680624783279
79,image,91.12586009797488
80,fun,91.1093019771912
81,clothes,91.02088202608017
82,story,90.98586386420737
83,weather,90.78713269014841
84,huge,90.68751299416954
85,flower,90.53664473541512
86,sale,90.39894342910888
87,famous,90.33677568057315
88,admission,90.14521063620312
89,play,90.11813994323397
90,definitely,90.03746036862414
91,sit,90.01993545115123
92,drink,89.98573479563183
93,exhibit,89.92625012939753
94,hall,89.84576867154372
95,taste,89.81343801995206
96,offer,89.8023440222853
97,everything,89.61920555454216
98,enjoy,89.41278349291025
99,busy,89.38496601549417
100,though,89.3297079496883
101,court,89.32575468546027
102,traditional,89.2777249208011
103,photo,89.2605279676761
104,peace,89.13382171176077
105,available,89.08050152555101
106,wide,89.03197776863423
107,different,88.78675524024054
108,service,88.74736862903534
109,siam,88.72465487217825
110,lovely,88.6960060741454
111,choose,88.68190271506029
112,event,88.49059020126506
113,wonderful,88.29958282799701
114,chill,88.25181173609288
115,culture,88.25059319577478
116,souvenir,88.22077531440856
117,bathroom,88.14930014289338
118,train,88.09079104078491
119,pm,87.90457822096371
120,family,87.8756053490997
121,reasonable,87.8668249997579
122,tour,87.83229776331375
123,spot,87.81991266233288
124,shop,87.77589894902646
125,recommend,87.71011551780829
126,sure,87.66851684068267
127,ceremony,87.61494027633465
128,spacious,87.58318659263138
129,public,87.4058048526132
130,study,87.37220895496904
131,free,87.34245883733183
132,suitable,87.3266252146989
133,eat,87.30762475905293
134,affordable,87.30712007845996
135,design,87.28768464280097
136,water,87.28755446976189
137,food,87.15455695612884
138,hot,87.12603121631322
139,rest,87.08046829235822
140,exercise,87.0750003709751
141,option,87.06695177951673
142,center,87.04024262511781
143,prayer,87.03201423998044
144,top,86.96590351065387
145,however,86.8979637056737
146,always,86.87729920029466
147,child,86.84614291905717
148,ride,86.82668199955647
149,heart,86.76512435875861
150,along,86.75522450434671
151,period,86.71496950334279
152,collection,86.66438391648825
153,chinese,86.64209380040022
154,money,86.6269736827865
155,choice,86.55611244521518
156,taxi,86.49761788449025
157,space,86.4652825497763
158,part,86.21077918126485
159,car,86.13664407199099
160,activity,86.11076164049875
161,trip,86.10114286348923
162,nothing,86.09858528093305
163,parking,86.01862019953799
164,whole,85.97179404346085
165,middle,85.94440317150787
166,bang,85.891876791063
167,attraction,85.85540287486327
168,sacred,85.81026272997968
169,outside,85.72609827153384
170,entry,85.63884120509383
171,maintain,85.61351957732383
172,noodle,85.56576492936809
173,religious,85.55324405583202
174,vendor,85.53111949672265
175,staff,85.50728978644878
176,life,85.4091188817114
177,feed,85.35812672396165
178,bus,85.3165917320216
179,world,85.3032487316279
180,english,85.29428423039052
181,weekend,85.22760675300938
182,selection,85.22560704580603
183,construction,85.14945536159695
184,worth,85.1170239468941
185,highly,85.08031346732119
186,seat,85.06553938536015
187,school,85.00523654729358
188,renovate,84.98209016426905
189,visitor,84.94835784190599
190,air,84.93844254987997
191,bit,84.92339658995544
192,department,84.84156572662683
193,say,84.84036778098303
194,include,84.83756983440267
195,view,84.83462809277415
196,grand,84.81982685736457
197,pier,84.80367102540846
198,home,84.79078835074837
199,snack,84.75351022136527
200,church,84.66024568230314
201,popular,84.61368748749148
202,comfortable,84.59660399614248
203,saturday,84.5938889777397
204,entrance,84.52457068383612
205,light,84.48911584208308
206,easy,84.4757119291851
207,name,84.40306722497893
208,early,84.38417988198702
209,green,84.3460863623663
210,super,84.33950679087212
211,important,84.32747530833015
212,check,84.31908707956354
213,bank,84.31351530926945
214,perfect,84.28783706466108
215,minute,84.25705462232942
216,unique,84.24254155006112
217,allow,84.23513217592408
218,end,84.21526210807187
219,site,84.16248190968379
220,inside,84.08450398953795
221,ground,84.05367708665229
222,bad,84.0457147718989
223,surround,83.92032495802411
224,shoe,83.89750646276252
225,foreigner,83.89208557781005
226,something,83.8778177381663
227,happy,83.87033415692864
228,toilet,83.83013040884956
229,main,83.80027398949932
230,park,83.7963357624718
231,various,83.76895175371034
232,sunday,83.73272231397195
233,access,83.70964871766051
234,traffic,83.55805877318451
235,modern,83.55658462012796
236,everyone,83.48246792577014
237,beauty,83.46746295611041
238,call,83.38933523232407
239,special,83.33194732960948
240,hard,83.29999924571464
241,house,83.29446253107233
242,u,83.28029206310029
243,nearby,83.27940633428604
244,watch,83.26737269901847
245,pho,83.24518498611161
246,guide,83.24274197235799
247,run,83.1286521058255
248,miss,83.11173213280354
249,fruit,83.09240523202102
250,display,82.97558043700101
251,stop,82.917915729428
252,cost,82.89824643126313
253,clothing,82.891906211066
254,central,82.87110570882686
255,quiet,82.77487892813917
256,large,82.74783202989858
257,zone,82.7092306758007
258,building,82.67873526934827
259,found,82.63926820467104
260,city,82.58975839686384
261,fantastic,82.5587701383722
262,afternoon,82.53370839081371
263,often,82.53179249698654
264,district,82.51046332646979
265,cafe,82.46569847515504
266,give,82.41413854425699
267,anything,82.30334709593761
268,ask,82.27171633033632
269,feel,82.26865366696597
270,keep,82.21933685066872
271,picture,82.18317544682016
272,group,82.1670526090274
273,friendly,82.14433652388942
274,music,82.14197303885477
275,almost,82.07518464909614
276,rice,82.06020163512373
